path;total_conversions;total_conversion_value;total_null
FB > paid search > Tiktok > FB;1;0.244;3
paid search > paid search > paid search > paid search;2;3.195;6
Tiktok > paid search > Tiktok > Tiktok > Tiktok > paid search > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok;2;6.754;6
snapchat > FB;1;2.402;3
paid search > FB > Pinterest > display > display > Pinterest > display;0;0;2
Tiktok > FB > Tiktok > Tiktok > FB > paid search > paid search > paid search > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok;1;5.044;3
paid search > snapchat > FB > snapchat > FB;0;0;2
snapchat > paid search > Retargeting;1;6.82;2
FB;1;3.3;3
paid search > paid search > snapchat;1;2.6;3
paid search > paid search > paid search;10;30.7346153846154;38
snapchat > FB;1;3.492;3
paid search > Tiktok > paid search > paid search > paid search > paid search > Tiktok > Tiktok > Tiktok > paid search;1;2.9;3
FB;3;11.286;9
paid search > paid search > Pinterest > Pinterest > FB;1;7.099;3
snapchat > Tiktok > Tiktok > FB;1;2.045;2
Tiktok > paid search > paid search > paid search > paid search > paid search > FB;1;3.75;2
Pinterest > Pinterest > Tiktok > Tiktok > Tiktok > Pinterest > Pinterest > Tiktok > Pinterest;1;2.258;2
paid search > paid search > FB;1;2.157;2
display > display > Pinterest > Pinterest > Tiktok;1;5.33;2
display > Tiktok > display > Tiktok > Bing > display;1;2.464;3
Pinterest > display > display > Pinterest > Tiktok > display > Pinterest > Tiktok > Tiktok > display > Pinterest > display > display > display > Pinterest > display;0;0;2
paid search > Pinterest > Pinterest;1;2.6985;6
FB > FB > FB;1;3.442;2
paid search > FB > Tiktok > Tiktok;0;0;3
snapchat > Pinterest > Pinterest > snapchat;1;0.865;3
FB > Pinterest > Tiktok > display;1;4.23;3
FB > display > display;2;3.639;5
Pinterest > FB > Pinterest > Tiktok;1;1.376;2
snapchat > FB > snapchat > FB > snapchat > FB > snapchat > FB;1;3.342;3
paid search > Pinterest > Tiktok > FB > FB > Tiktok > Tiktok > Tiktok > FB > Tiktok > Tiktok;1;2.75;2
snapchat > paid search > Tiktok > Tiktok > Tiktok;1;1.237;3
snapchat;44;78.1416842105263;169
FB;1;3.752;2
paid search > Pinterest > Bing > Tiktok > FB > FB > FB > FB;1;0.1;2
snapchat > paid search > FB > Tiktok > Tiktok;0;0;2
snapchat > snapchat > FB > snapchat > snapchat;1;1.635;2
paid search > paid search > paid search > FB > paid search > Bing > paid search > FB > FB;1;2.4;3
snapchat > FB;1;3.4;2
FB > Pinterest;1;2.895;2
snapchat > display;1;3.7;3
FB;1;1.9;3
paid search > paid search > paid search > snapchat > FB > snapchat;1;6.05;2
snapchat > FB > snapchat > snapchat > snapchat > FB > snapchat > snapchat > FB;1;5.065;3
offline > paid search > offline > Tiktok;1;2.13;2
Pinterest > snapchat > snapchat > snapchat > snapchat > Pinterest;1;1.2;2
display > Pinterest > Tiktok > display > display > display > display;1;3.4;2
paid search > snapchat > FB;0;0;3
snapchat > snapchat > FB > snapchat > paid search;1;2.03;3
snapchat > FB > snapchat > snapchat > FB;1;2.539;2
Tiktok > Tiktok > Tiktok > Pinterest > Pinterest;1;4.5;3
paid search > paid search > snapchat > paid search > paid search > paid search > paid search > paid search > Pinterest > Pinterest > Pinterest > Pinterest;0;0;3
FB > FB;1;3.56;3
Pinterest > snapchat > Tiktok > Bing;1;5.596;2
snapchat > FB > snapchat > snapchat > snapchat > FB > snapchat > Bing;1;1.1;2
snapchat > snapchat > snapchat > snapchat > snapchat > FB;1;7.594;3
FB;8;7.01777777777778;30
FB > FB > Pinterest > Tiktok;1;3.465;3
Pinterest > Tiktok > paid search > paid search > paid search > paid search;2;9.686;5
paid search > snapchat > Tiktok > FB;1;5.492;2
snapchat > FB > Tiktok;1;5.55;2
Tiktok > snapchat > snapchat > snapchat > Tiktok > snapchat > Pinterest > Pinterest > paid search > Pinterest > Pinterest > snapchat > Pinterest > snapchat > snapchat > FB > Pinterest > Pinterest > snapchat > Pinterest > Pinterest > Pinterest;1;3.971;2
paid search > Tiktok > Tiktok > Bing;2;11.34;5
paid search > paid search;1;1.355;3
Tiktok > Tiktok > Tiktok > Tiktok > paid search > Bing > Pinterest > Tiktok > Tiktok;1;1.49;3
FB > FB > paid search > paid search > paid search > paid search > FB > FB;1;7.77;3
paid search > paid search > Tiktok > paid search > paid search > paid search > paid search > paid search > paid search;2;2.96;5
paid search > Tiktok > paid search > paid search > paid search > paid search > Pinterest > paid search > Pinterest > paid search > display > Bing;1;2.465;2
FB > snapchat > FB > snapchat > FB;1;3.325;2
FB;1;5.161;3
FB > FB > Tiktok > FB > FB > Tiktok;0;0;2
snapchat > snapchat > snapchat > Tiktok;1;2.54;3
paid search > FB;3;15.55;9
snapchat > FB > FB;1;11.9;3
snapchat > snapchat > snapchat > snapchat > snapchat > FB;1;3.368;2
offline > paid search;1;1.717;3
FB > Pinterest > Tiktok > Tiktok > Pinterest;1;3.7;3
snapchat > Bing > Pinterest > Bing;1;5.293;3
snapchat > FB;7;27.839;28
FB > Bing;1;2.52;2
snapchat > FB > snapchat > FB > FB > Tiktok;1;6.088;3
snapchat > Pinterest > snapchat > snapchat > FB > Tiktok > snapchat > snapchat;1;2.235;2
snapchat > retargeting> retargeting> retargeting> retargeting> snapchat;0;0;3
Pinterest > snapchat > FB > snapchat > offline;1;2.417;2
paid search > paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > Tiktok > paid search > Tiktok > Tiktok;1;2.35;6
display > Pinterest > display > display > Pinterest > display > display > Pinterest > Tiktok > Pinterest > Tiktok > display > Pinterest > display;1;7.476;3
snapchat;1;2.9;2
snapchat > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok;1;4.77;2
FB > FB;1;3.693;3
paid search > paid search > Tiktok;0;0;2
paid search > paid search > paid search > paid search > paid search > FB;0;0;3
paid search > paid search > paid search > paid search > paid search > paid search;1;2.6;2
FB > snapchat;1;8;3
paid search > FB > FB > FB > Tiktok;1;2.678;3
Pinterest > Pinterest > FB > Pinterest > snapchat > Pinterest > FB > snapchat > paid search > Pinterest > snapchat > snapchat > Tiktok;1;0.7;2
FB > Tiktok > Tiktok > paid search > paid search > FB > Tiktok > Tiktok;1;1.88;2
snapchat > snapchat;1;11.3;3
FB > paid search > FB;0;0;3
paid search > FB;1;3.126;3
FB > paid search > paid search > paid search > paid search > paid search > paid search > paid search > display > display > paid search > Bing > Tiktok;1;7.983;3
offline > Pinterest;2;15.341;5
display > Pinterest > Pinterest > snapchat > Pinterest;1;3.41;5
snapchat > FB;5;13.582;14
paid search > display > display > display;1;4.1;2
snapchat > snapchat > snapchat > snapchat > snapchat > FB > snapchat;1;5.63;2
FB > display > display > display > display > display > display > display > display > display > display;0;0;3
FB > Bing > FB > paid search > snapchat > display;1;2.945;3
display > Pinterest > display;1;3.8;3
paid search > paid search > snapchat;1;3.355;3
paid search > paid search > paid search;1;7.636;3
paid search > FB;1;4.237;3
paid search > FB;1;2.17;3
paid search > paid search > paid search > Tiktok > Tiktok;1;1.802;3
paid search > FB > paid search > FB > paid search > snapchat > paid search > FB > paid search;1;2.687;3
paid search > Retargeting;1;2.119;2
offline > Bing;1;3.565;2
paid search > paid search > paid search > paid search;1;3.486;2
display > paid search > paid search > paid search > Pinterest > Pinterest > paid search > display;1;1.16;3
paid search > paid search > paid search;1;6.167;3
Bing > paid search > paid search > Bing;1;2.155;3
snapchat > snapchat > snapchat > FB > snapchat > snapchat > FB > snapchat > Tiktok > FB;0;0;2
snapchat > snapchat > display;1;5.209;3
snapchat > snapchat > snapchat > paid search > paid search > paid search > Bing;1;5.88;3
paid search > paid search > paid search > paid search > paid search;2;8.074;5
FB > paid search;1;1.483;2
snapchat > Pinterest > snapchat > FB > snapchat > FB > snapchat > FB > snapchat > FB > snapchat > FB > snapchat > Bing > Tiktok;1;14.94;2
paid search > snapchat > FB > snapchat > paid search > paid search > paid search > paid search;0;0;2
offline;7;21.15575;22
snapchat > FB;1;7.034;2
paid search > Pinterest > Pinterest > Tiktok > Tiktok > Tiktok > paid search > paid search > Tiktok > Bing;1;6.17;3
FB;0;0;3
Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Bing > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > paid search > Tiktok > Tiktok > display > paid search > Bing > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok;1;3.062;2
FB;1;3.094;3
Pinterest > FB > paid search > Tiktok;1;4.55;3
Pinterest > snapchat > FB > FB;0;0;2
FB;3;75.3885;11
snapchat > snapchat > snapchat > paid search > paid search > snapchat > Pinterest > Tiktok > snapchat > paid search > snapchat > Pinterest > paid search > paid search > snapchat > Pinterest > snapchat > Pinterest > paid search > snapchat > Pinterest > paid search > paid search > paid search > Pinterest > retargeting> paid search > paid search > paid search > paid search > retargeting> snapchat > paid search > Pinterest > paid search > retargeting> retargeting> Retargeting;0;0;2
Pinterest > Tiktok > Pinterest > snapchat > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok > snapchat > Tiktok > Pinterest;1;18.046;3
FB > Bing;1;2.021;3
Pinterest > Pinterest > snapchat > Pinterest > Tiktok > Pinterest > Pinterest > Tiktok > Pinterest > snapchat > snapchat > snapchat > Pinterest > FB > Tiktok > snapchat > Pinterest > Tiktok > Tiktok > snapchat > FB > FB > FB > FB > FB > FB > Pinterest > snapchat > Pinterest > Pinterest > FB > Pinterest > snapchat > FB;1;4.274;2
retargeting> snapchat;1;1.82;3
FB > FB > snapchat > FB > paid search;1;1.86;2
FB > FB > FB;1;6.85;3
paid search > FB;1;4.49;2
paid search > paid search > paid search > paid search > Tiktok;1;7.032;3
FB > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > Bing > paid search > paid search > paid search > paid search > Pinterest > FB > Bing > Pinterest > paid search > FB > paid search > Bing > Pinterest > paid search > Bing > paid search > paid search > paid search > paid search;1;2.117;3
display > display > Tiktok > Tiktok > display > Bing;2;10.153;5
snapchat > snapchat > FB;1;8.716;2
paid search > paid search > snapchat > FB > paid search;1;2.571;3
Pinterest > Tiktok > display > Pinterest > paid search > FB;1;8.639;3
snapchat > Tiktok > Tiktok > Tiktok > FB > Tiktok;1;3;2
Tiktok > Tiktok > paid search > paid search > paid search;1;1.34;2
FB > paid search;1;2.283;2
paid search > paid search > paid search > Tiktok;1;1.4;2
FB;1;5.648;3
FB > paid search > Tiktok > Pinterest > paid search;1;3.4;3
snapchat;1;3.142;3
Pinterest > paid search > Pinterest > Tiktok > Tiktok > Tiktok;1;4.14;2
snapchat > snapchat > Pinterest > snapchat > Retargeting;1;6.6;3
Pinterest > FB > Bing;0;0;3
Bing > Bing > Bing > Bing > Bing;1;2.468;2
Tiktok > Tiktok > paid search > Tiktok > Tiktok > Tiktok > Tiktok;0;0;2
snapchat > snapchat > FB > Bing;1;3.794;2
paid search > snapchat > Pinterest > Tiktok > Tiktok > Tiktok;1;2.711;3
paid search > snapchat > paid search > paid search > paid search > paid search > snapchat;1;0.414;2
FB > Tiktok > display > FB;1;9.334;2
paid search > Tiktok > Tiktok > paid search > Tiktok > paid search > Tiktok;1;2.73;2
snapchat > snapchat > paid search > Pinterest > paid search > paid search > snapchat > paid search > paid search > paid search > paid search > paid search > snapchat > FB > paid search > FB > display > paid search > snapchat > Tiktok > snapchat > FB > FB > display;0;0;3
snapchat > FB > Tiktok > Tiktok > Tiktok > display > Pinterest > FB > Tiktok > FB;1;5.24;3
snapchat > snapchat > snapchat > snapchat > paid search > Bing > Pinterest > snapchat > FB;1;10.794;2
snapchat > FB > snapchat;1;3.9;3
FB;0;0;3
paid search > Pinterest > paid search > display;1;2.022;2
paid search > paid search > Pinterest > paid search > Bing > display > FB > paid search > paid search > Tiktok > display;1;1.95;2
FB > Pinterest > Tiktok;1;3.9;2
paid search > snapchat > paid search > paid search > paid search > paid search > Tiktok;1;10.241;3
FB > FB > FB > FB > paid search > paid search > Pinterest > FB > FB > Pinterest > paid search > FB > FB > FB > FB > Pinterest > FB > FB > FB > FB > FB > FB > FB > FB > FB > FB;1;0.552;2
snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > FB > paid search > paid search > paid search;1;15.84;3
FB;1;1.627;2
paid search > paid search > paid search > paid search;1;1.725;3
FB > Bing > Pinterest;0;0;3
paid search > Tiktok > paid search > Tiktok > Tiktok > Tiktok > Tiktok;7;34.2993;25
snapchat > paid search > Pinterest > paid search > paid search > paid search > paid search > Pinterest > paid search > Pinterest > Pinterest > Pinterest > paid search > Pinterest > paid search > Pinterest > paid search > Pinterest;0;0;2
FB > FB > Tiktok;0;0;2
snapchat > snapchat > FB > Tiktok;1;2.836;2
paid search > snapchat > FB > paid search > paid search;1;3.56;2
paid search > paid search > display;1;2.275;2
Pinterest > offline > offline > offline;1;1.857;2
FB > Tiktok;0;0;3
Pinterest > Bing > Pinterest > FB > Tiktok > Bing > Tiktok;1;2.14;3
paid search > paid search > paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > Tiktok > paid search > paid search > paid search > retargeting> retargeting> display > paid search > paid search > Tiktok > paid search > paid search > paid search > paid search > Retargeting;1;6.061;2
snapchat > snapchat > paid search;1;7.247;2
display > display > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > paid search > Tiktok > FB;1;3.11;2
FB;1;6.599;2
FB > FB;0;0;2
FB > FB > FB > FB > FB > FB;1;3.86;3
paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > Tiktok > Tiktok;4;16.74;13
retargeting> FB > snapchat > FB > retargeting> FB;1;2.512;3
